cds,adcod,cdscod,media_voto,genere,etaimm,citttipo,rn
[E2001R] COMUNICAZIONE INTERCULTURALE,E2001R004,E2001R,29.8333333333333,M,20,Italiana,2
[E2001R] COMUNICAZIONE INTERCULTURALE,E2001R004,E2001R,30.0,M,28,Comunitaria,1
[E2001R] COMUNICAZIONE INTERCULTURALE,E2001R005,E2001R,30.0,F,20,Italiana,1
[E2001R] COMUNICAZIONE INTERCULTURALE,E2001R006,E2001R,30.0,F,20,Italiana,2
[E2001R] COMUNICAZIONE INTERCULTURALE,E2001R008,E2001R,30.0,F,25.5,Italiana,3
[E2003P] COMUNICAZIONE E PSICOLOGIA,E2004P038,E2003P,30.0,M,19,Italiana,1
[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE,E1901R084,E2004P,29.0,M,20,Italiana,10
[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE,E2004P008,E2004P,29.1666666666667,M,19,Italiana,9
[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE,E2004P025,E2004P,29.4,M,19,Italiana,8
[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE,E2004P008,E2004P,29.4285714285714,M,19,Italiana,7
[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE,E2004P028,E2004P,29.5,M,21,Italiana,6
[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE,E1501N054,E2004P,29.6,M,19,Italiana,4
[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE,E2004P025,E2004P,29.6,M,21,Italiana,5
[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE,E2004P025,E2004P,29.6666666666667,F,20,Italiana,10
[E2004P] SCIENZE PSICOSOCIALI DELLA COMUNICAZIONE,E2001R028,E2004P,29.8,F,18,Italiana,6
