cdscod,cds,dtappello,commitment
F5103P,[F5103P] PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI,2017-08-02T00:00:00Z,2
F5103P,[F5103P] PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI,2017-08-06T00:00:00Z,2
F5103P,[F5103P] PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI,2017-09-14T00:00:00Z,2
F5103P,[F5103P] PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI,2017-09-19T00:00:00Z,2
F5103P,[F5103P] PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI,2017-09-20T00:00:00Z,2
F5103P,[F5103P] PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI,2017-09-26T00:00:00Z,2
F5103P,[F5103P] PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI,2017-09-27T00:00:00Z,2
F5103P,[F5103P] PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI,2017-10-07T00:00:00Z,2
F5103P,[F5103P] PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI,2017-12-05T00:00:00Z,2
F5103P,[F5103P] PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI,2017-12-06T00:00:00Z,2
F5103P,[F5103P] PSICOLOGIA DELLO SVILUPPO E DEI PROCESSI EDUCATIVI,2017-12-07T00:00:00Z,2
F5104P,[F5104P] PSICOLOGIA CLINICA E NEUROPSICOLOGIA NEL CICLO DI VITA,2017-04-07T00:00:00Z,2
F5104P,[F5104P] PSICOLOGIA CLINICA E NEUROPSICOLOGIA NEL CICLO DI VITA,2017-05-31T00:00:00Z,2
F5104P,[F5104P] PSICOLOGIA CLINICA E NEUROPSICOLOGIA NEL CICLO DI VITA,2017-06-06T00:00:00Z,2
F5104P,[F5104P] PSICOLOGIA CLINICA E NEUROPSICOLOGIA NEL CICLO DI VITA,2017-06-23T00:00:00Z,2
F5104P,[F5104P] PSICOLOGIA CLINICA E NEUROPSICOLOGIA NEL CICLO DI VITA,2017-07-13T00:00:00Z,2
F5104P,[F5104P] PSICOLOGIA CLINICA E NEUROPSICOLOGIA NEL CICLO DI VITA,2017-07-25T00:00:00Z,2
